"","Year","areas.25","total.contacts","n.boats.euc","dung.kept.euc","unrecorded.euc","recorded.euc","EUC","EUC.boot.mean","EUC.boot.SD","EUC.boot.lowerCI","EUC.boot.upperCI","margin_error","perMOE","CV"
"1","2025","6",102,"92","936","102","834",0.122302158273381,0.124664869452885,0.0500557529040912,"0.044903630805447","0.237909890228443",0.0965031297114982,0.789055001758722,0.409279391392276
"2","2025","7",246,"226","2074","520","1554",0.334620334620335,0.336607565921532,0.0549745780027523,"0.237703653106659","0.450873121061083",0.106584733977212,0.318524378078052,0.164289411954379
"3","2025","8_1",768,"728","7860","1094","6766",0.161690806976057,0.162033714680587,0.0158647030750657,"0.1321573344372","0.195115491002831",0.0314790782828158,0.194686877204325,0.0981175329121521
"4","2025","8_2",1440,"1321","12011","1678","10333",0.162392335236621,0.162603134755009,0.0134172865839281,"0.137605407604414","0.190079964822402",0.0262372786089941,0.161567222804967,0.0826226592799336
"5","2025","9",640,"501","3869","543","3326",0.163259170174384,0.16382151670222,0.0258231427712643,"0.118608168696469","0.218495596887013",0.0499437140952719,0.305916746005293,0.158172694028038
"6","2025","10",147,"114","669","111","558",0.198924731182796,0.201424032986641,0.0534535218267829,"0.112121075127404","0.319569649188281",0.103724287030439,0.521424794261125,0.268712298913016
"7","2025","11",373,"237","1182","204","978",0.208588957055215,0.210871258707545,0.0405948733123921,"0.139981701738335","0.297690474549798",0.0788543864057315,0.378037205415712,0.194616598527056
"8","2025","12",36,"29","141","11","130",0.0846153846153846,0.0904846942360925,0.0572814760582814,"0.0128184713375796","0.232329105003523",0.109755316832972,1.29710828984421,0.676962898870598
